Time,Content,Link,Source,Tags,Prio,Cat,Sent,RawTime,Code
2026-01-20 08:12:53,【中简科技公告】 ,"http://guba.eastmoney.com/list,300777.html",🇨🇳 东财个股,['🎯 持仓: 中简科技'],2,holding,NEU,2026-01-20 08:12:53,300777
2026-01-20 08:12:52,【超捷股份公告】 ,"http://guba.eastmoney.com/list,301005.html",🇨🇳 东财个股,['🎯 持仓: 超捷股份'],2,holding,NEU,2026-01-20 08:12:52,301005
2026-01-20 08:12:52,【雅克科技公告】 ,"http://guba.eastmoney.com/list,002409.html",🇨🇳 东财个股,['🎯 持仓: 雅克科技'],2,holding,NEU,2026-01-20 08:12:52,002409
2026-01-20 08:12:52,【江波龙公告】 ,"http://guba.eastmoney.com/list,301308.html",🇨🇳 东财个股,['🎯 持仓: 江波龙'],2,holding,NEU,2026-01-20 08:12:52,301308
2026-01-20 08:12:52,【联特科技公告】 ,"http://guba.eastmoney.com/list,301205.html",🇨🇳 东财个股,['🎯 持仓: 联特科技'],2,holding,NEU,2026-01-20 08:12:52,301205
2026-01-20 08:12:20,20年期日本国债收益率上升4.0个基点，至3.295%。,https://flash.jin10.com/detail/20260120081220502800,🌍 金十,[],0,other,NEU,2026-01-20 08:12:20,
2026-01-20 08:11:04,【特朗普达沃斯设宴邀请全球CEO，美财长就“购岛关税”警告欧洲】 本周三，达沃斯论坛将迎来“特朗普时刻”。特朗普不仅将发表演讲，还将设宴款待全球精英。点击查看…,https://flash.jin10.com/detail/20260120081104485800,🌍 金十,['宏观'],1,macro,NEU,2026-01-20 08:11:04,
2026-01-20 08:08:59,【绕开美元？印度被曝提议金砖国家数字货币互联】金十数据1月20日讯，路透社19日引述两位消息人士的话报道称，印度央行提议金砖国家将官方数字货币进行联接，以便利跨境贸易和旅游支付。随着地缘政治紧张局势加剧，此举或有助于降低对美元的依赖。据报道，印度的央行——印度储备银行已向政府建议，将一项关于联接各国央行数字货币的提案列入2026年金砖国家峰会的议程。这一峰会将于今年晚些时候由印度主办，如果建议得到采纳，将是首次正式提出推动金砖国家成员间数字货币互联的倡议。不过，此举可能引发美国不满。美方反对任何试图绕开美元的行为，并曾就此发出警告。美国总统特朗普此前公开表示，金砖国家是“反美”联盟，并威胁要对其成员国征收关税。,https://flash.jin10.com/detail/20260120080859979800,🌍 金十,"['宏观', '政策']",1,macro,NEU,2026-01-20 08:08:59,
2026-01-20 08:04:14,【OpenAI首席财务官：2025年年化营收突破200亿美元】金十数据1月20日讯，OpenAI首席财务官Sarah Friar在周日的一篇博文中表示，该公司2025年的年化营收从2024年的60亿美元增至逾200亿美元，这一增长与算力扩张密切相关。Friar在文中称，2025年OpenAI的算力已从2024年的0.6吉瓦（GW）提升至1.9吉瓦。她补充说，在微软(MSFT.O)的支持下，OpenAI的每周和每日活跃用户数据持续创下历史新高。,https://flash.jin10.com/detail/20260120080414505800,🌍 金十,"['AI应用', '🟢 利好: 增长,突破']",1,tech,POS,2026-01-20 08:04:14,
2026-01-20 08:02:48,【新闻交易员：当贵金属再冲顶，下一波冲击还在偷偷蓄力！】 贵金属再次冲顶，地缘冲突加通胀焦虑，这波行情究竟还要走多远？点击查看...,https://flash.jin10.com/detail/20260120080248226800,🌍 金十,['宏观'],1,macro,NEU,2026-01-20 08:02:48,
