Time,Content,Link,Source,Tags,Prio,Cat,Sent,RawTime
2026-01-16 18:53:05,乌克兰经济部表示，2025年乌克兰国内生产总值增长了2.2%。,,🌍 金十,['🟢 利好: 增长'],1,stock_event,POS,2026-01-16 18:53:05
2026-01-16 18:50:54,欧盟将对哈马斯和巴勒斯坦伊斯兰圣战组织（杰哈德）的制裁延长一年。,,🌍 金十,['自主'],1,macro,NEU,2026-01-16 18:50:54
2026-01-16 18:49:31,【2025海南进口咖啡豆及制品增长5.6倍】金十数据1月16日讯，在海南自贸港加工增值免关税与“零关税”政策“双重红利”的叠加下，咖啡产业正迎来新的发展机遇。海口海关16日披露，2025年，海南企业进口咖啡豆及制品9110.6吨，货值4.8亿元，同比分别增长5.6倍、8.3倍。,,🌍 金十,"['🟢 利好: 增长', '出口']",1,macro,POS,2026-01-16 18:49:31
2026-01-16 18:49:02,【经济学家：与AI相关的支出主要来自企业自身的现金流 而非过度举债】金十数据1月16日讯，Payden & Rygel的经济学家杰弗里·克利夫兰在一份报告中表示，与人工智能相关的大部分支出主要来自企业自身的现金流，而非过度举债。他指出：“尽管我们密切关注企业杠杆率——这是经济下行前常见的先行指标，但当前的债务增长相较于历史上那些过度扩张时期仍然相当温和。”克利夫兰认为，AI热潮不太可能演变成泡沫，并表示：“对投资者而言，如今真正的风险，或许不是进场太晚，而是过早退出这一主题。”,,🌍 金十,['🟢 利好: 增长'],1,stock_event,POS,2026-01-16 18:49:02
2026-01-16 18:47:11,【潘森宏观：德国通胀偏低可能增加欧洲央行降息的押注】金十数据1月16日讯，潘森宏观分析师Claus Vistesen表示，德国和欧元区一月份的通胀可能推动市场增加欧洲央行降息的押注。周五数据显示，因为能源价格因一次性关税降低而下跌，德国12月通胀年率从11月的2.3%降至1.8%，这为2026年通胀继续下降奠定了基础。预计核心通胀也会下降，尽管食品和酒精的通胀因去年基准效应而有望反弹。潘森宏观预计德国一月份通胀率将降至1.5%。,,🌍 金十,"['🔴 利空: 下降', '出口']",1,macro,NEG,2026-01-16 18:47:11
2026-01-16 18:46:59,【降准降息信号释放 专家认为“还有空间”不是“大水漫灌”】金十数据1月16日讯，根据当前经济金融形势需要，中国央行打开政策“工具箱”，宣布推出八项结构性货币政策措施，并透露今年降准降息“还有一定空间”。后续政策怎么走，受到市场高度关注。对于政策时点，中国民生银行首席经济学家温彬判断，出于防止股市等资产价格进一步过热的考虑，短期内降息的可能性降低。目前中国央行货币投放可选择的工具多，买断式逆回购操作实施效果好，这些因素都导致短期降准的概率降低。东方金诚宏观研究团队认为，中国央行致力于构建科学稳健的货币政策体系，会坚持不搞大水漫灌，避免给将来留下高通胀、高债务等隐患。当前货币政策的重点是用好各类结构性货币政策工具，精准发力，持续推动新旧增长动能转换。由此，基本可以排除今年大幅度降息，以及实施大规模数量型宽松的可能。,,🌍 金十,"['🟢 利好: 回购,增长']",1,stock_event,POS,2026-01-16 18:46:59
2026-01-16 18:42:28,"【光明地产：预计2025年度净亏26亿元-37亿元】金十数据1月16日讯，光明地产公告，公司预计2025年度实现归属于母公司所有者的净利润约为-370,000万元到-260,000万元。预计公司2025年度实现归属于母公司所有者的扣除非经常性损益的净利润约为-405,000万元到-285,000万元。预计报告期内公司出现亏损，主要系受房地产行业项目销售价格持续下行因素的影响，公司根据会计准则对存货进行初步减值测试，根据谨慎性原则，预计对具有减值迹象的部分房地产项目计提资产减值损失。同时，由于部分区域行业市场低迷，有效需求不足，公司商品房业务的结转规模同比有较大幅度的下降，导致业绩进一步承压。",,🌍 金十,"['🔴 利空: 亏损,下降']",1,stock_event,NEG,2026-01-16 18:42:28
2026-01-16 18:38:43,【江波龙：龙熹一号等5名股东拟合计减持3.00%】金十数据1月16日讯，江波龙公告，龙熹一号、龙熹二号、龙熹三号、龙舰管理、龙熹五号5名股东合计拟减持1257.44万股，占公司总股本3.00%。减持原因均为自身资金需求。减持方式为询价转让，不通过集中竞价或大宗交易方式进行，受让方为具备相应定价能力和风险承受能力的机构投资者。,,🌍 金十,"['🎯 持仓: 江波龙', '🔴 利空: 减持']",2,holding,NEG,2026-01-16 18:38:43
2026-01-16 18:38:20,【剑桥科技：目前核心元器件等关键物料供应的紧张局面仍在持续，局部有扩大和恶化趋势】金十数据1月16日讯，剑桥科技公告，公司预见到需求增长向上游传导带来的供应链紧张局面，持续通过预付款、战略性物料储备、资本开支、股权投资等组合方式，加大对上游供应链产能的投资，及早锁定物料供应和原材料产能，有效减小供应链波动对业务的影响。上述措施对本期业绩增长形成积极支撑，并将持续推动公司未来交付能力提升；但目前核心元器件等关键物料供应的紧张局面仍在持续，局部有扩大和恶化趋势，且波动具有一定不可预测性。,,🌍 金十,['🟢 利好: 增长'],1,stock_event,POS,2026-01-16 18:38:20
2026-01-16 18:36:35,"【保时捷2025年交付量下降10%】金十数据1月16日讯，德国跑车制造商保时捷2025年的全球交付量同比下降10%。该公司周五称，2025年共交付279,449辆汽车，低于2024年的310,718辆。该公司还补充称，德国和欧洲其他地区的销量分别下降了16%和13%。保时捷称，2025年其全球交付车辆中，22.2%为纯电动车，12.1%为插电式混合动力车。",,🌍 金十,['🔴 利空: 下降'],1,stock_event,NEG,2026-01-16 18:36:35
