Time,Content,Link,Source,Tags,Prio,Cat,RawTime
2026-01-16 17:07:38,【黄金小幅走低 但本周仍能守住涨势】金十数据1月16日讯，金价在欧洲早盘交易中下跌，此前最新美国数据显示上周失业金申请人数下降，降低了美联储即将降息的可能性。对避险资产需求的减弱也令金价承压，市场对美国即将对伊朗采取军事行动的担忧消退。不过，黄金仍有望实现周涨幅超2%，本周早些时候金价一度创下历史新高。与此同时，特朗普政府暂缓对关键矿物加征进口关税，但白银本周仍上涨近15%。,,🌍 金十,"['流动性', '出口/航运']",1,macro,2026-01-16 17:07:38
2026-01-16 17:05:19,【小米、OPPO、vivo、传音四家手机厂商下调全年出货预期】金十数据1月16日讯，1月16日，受上游供应链存储涨价影响，多家手机厂商近日下调全年整机订单数量，小米、OPPO下调超20%，vivo下调近15%，传音下调至7000万台以下，各家下调机型主要都侧重在中低端和海外产品。对此消息，小米、OPPO、vivo、传音等厂商并未作出回应。华为凭借供应链国产化的成本优势，其产品仍有一定利润空间，华为内部正讨论对Pura、nova、畅享等系列产品降价，以进一步抢占市场。荣耀尽管一同承压此次存储价格的上涨，但在中国区15%份额的目标不变。,,🌍 金十,"['HBM/存储', '海思/鸿蒙']",1,tech,2026-01-16 17:05:19
2026-01-16 17:04:10,美股盘前，明星科技股走强，美光科技(MU.O)涨超3%、AMD(AMD.O)涨超2%、台积电(TSM.N)涨超1%。,,🌍 金十,"['芯片', '半导体']",1,tech,2026-01-16 17:04:10
2026-01-16 17:00:56,"【深交所发布关于对中能电气股份有限公司及相关当事人的监管函】金十数据1月16日讯，深交所发布对中能电气股份有限公司及相关当事人的监管函。根据福建证监局《关于对中能电气股份有限公司、陈添旭、CHE NMANHONG、于春江采取出具警示函措施的决定》（〔2026〕3号）查明的事实，中能电气关联交易未履行审议程序和信息披露义务。2018年6月，中能电气收购福建祥瑞电力工程有限公司100%股权构成关联交易，应提交董事会审议，但公司未按规定履行相关审议程序和信息披露义务。未披露重大事项进展。2019年9月，中能电气披露《关于转让子公司股权的公告》,拟以3,071.77万元的价格向张金菊转让其持有的大连瑞优能源发展有限公司100%股权。2019年12月，中能电气与张金菊、大连瑞优签订《补充协议》将大连瑞优的转让价格调减605万元，但公司未在临时公告中披露该重大事件进展。",,🌍 金十,['电网'],1,mfg,2026-01-16 17:00:56
2026-01-16 17:07:38,【黄金小幅走低 但本周仍能守住涨势】金十数据1月16日讯，金价在欧洲早盘交易中下跌，此前最新美国数据显示上周失业金申请人数下降，降低了美联储即将降息的可能性。对避险资产需求的减弱也令金价承压，市场对美国即将对伊朗采取军事行动的担忧消退。不过，黄金仍有望实现周涨幅超2%，本周早些时候金价一度创下历史新高。与此同时，特朗普政府暂缓对关键矿物加征进口关税，但白银本周仍上涨近15%。,,🌍 金十,"['出口/航运', '流动性']",1,macro,2026-01-16 17:07:38
2026-01-16 17:05:19,【小米、OPPO、vivo、传音四家手机厂商下调全年出货预期】金十数据1月16日讯，1月16日，受上游供应链存储涨价影响，多家手机厂商近日下调全年整机订单数量，小米、OPPO下调超20%，vivo下调近15%，传音下调至7000万台以下，各家下调机型主要都侧重在中低端和海外产品。对此消息，小米、OPPO、vivo、传音等厂商并未作出回应。华为凭借供应链国产化的成本优势，其产品仍有一定利润空间，华为内部正讨论对Pura、nova、畅享等系列产品降价，以进一步抢占市场。荣耀尽管一同承压此次存储价格的上涨，但在中国区15%份额的目标不变。,,🌍 金十,"['海思/鸿蒙', 'HBM/存储']",1,tech,2026-01-16 17:05:19
2026-01-16 17:04:10,美股盘前，明星科技股走强，美光科技(MU.O)涨超3%、AMD(AMD.O)涨超2%、台积电(TSM.N)涨超1%。,,🌍 金十,"['半导体', '芯片']",1,tech,2026-01-16 17:04:10
2026-01-16 17:16:02,【国家药监局批准奥洛格列净胶囊上市】金十数据1月16日讯，近日，国家药品监督管理局批准宜昌东阳光长江药业股份有限公司申报的1类创新药奥洛格列净胶囊（商品名：东泽安）上市，该药适用于改善成人2型糖尿病患者的血糖控制。该药品上市为患者提供了新的治疗选择。,,🌍 金十,[],0,other,2026-01-16 17:16:02
2026-01-16 17:15:23,【乌驻美大使：乌美下一轮双边谈判有望在最近两天内举行】金十数据1月16日讯，当地时间16日获悉，乌克兰驻美国大使斯特凡尼希娜表示，乌美下一轮双边谈判有望在最近两天内举行。乌克兰国家安全与国防委员会秘书乌梅罗夫1月7日表示，当天与美国总统特使威特科夫、库什纳等进行了新一轮磋商，这是两天内在巴黎与美方举行的第三次会晤。双方重点讨论了结束冲突的基本框架的关键要素，特别关注了乌克兰、欧洲伙伴和美国领导人之间未来接触的可能形式。,,🌍 金十,[],0,other,2026-01-16 17:15:23
2026-01-16 17:14:59,"【上交所：对三维股份、关联方浙江维泰橡胶有限公司及有关责任人予以监管警示】金十数据1月16日讯，上交所发布关于对三维控股集团股份有限公司、关联方浙江维泰橡胶有限公司及有关责任人予以监管警示的决定。2025年3月，浙江维泰橡胶有限公司与三维控股集团股份有限公司发生6,000万元资金往来，构成关联方非经营性资金占用，相关款项已经归还。此外，三维股份关于控股子公司内蒙古三维新材料有限公司的水权项目完工状态相关信息披露不准确。鉴于上述违规事实和情节，上交所对三维控股集团股份有限公司、关联方浙江维泰橡胶有限公司及三维控股集团股份有限公司时任董事长叶继跃、时任总经理陈晓宇、时任财务总监李帅红、时任董事会秘书程沧予以监管警示。",,🌍 金十,[],0,other,2026-01-16 17:14:59
